millis,SO2_column_number_density,system:index
2018-10-02 16:27:57,0.00011735528249333042,20181002T162803_20181002T182406
2018-10-02 17:57:57,-1.1596349029652386e-05,20181002T175803_20181002T184131
2018-10-02 18:02:58,-4.612727207847172e-05,20181002T180303_20181002T184329
2018-10-02 18:07:58,9.974982029010878e-05,20181002T180803_20181002T200307
2018-10-02 19:47:58,0.0005786803995150657,20181002T194803_20181002T214537
2018-10-03 17:42:58,-3.793174971027549e-05,20181003T174303_20181003T182430
2018-10-03 17:47:58,0.00023345862122473463,20181003T174803_20181003T194326
2018-10-03 19:27:57,-3.112923429068362e-05,20181003T192803_20181003T212556
2018-10-04 17:22:58,-7.616084518011775e-06,20181004T172303_20181004T180401
2018-10-04 17:27:57,0.00016739082570423993,20181004T172803_20181004T192536
2018-10-04 19:02:58,1.515030176005237e-05,20181004T190303_20181004T194412
2018-10-04 19:07:58,1.5205587980270439e-05,20181004T190803_20181004T210735
2018-10-05 17:02:58,2.1943954696547505e-05,20181005T170303_20181005T174754
2018-10-05 17:07:58,7.496948917763464e-05,20181005T170803_20181005T174928
2018-10-05 18:42:57,2.2604332594272563e-05,20181005T184303_20181005T192416
2018-10-05 18:47:57,-3.0185297622543797e-05,20181005T184803_20181005T204942
2018-10-06 16:47:58,0.0002724769491596691,20181006T164803_20181006T173116
2018-10-06 18:22:57,9.545084524397173e-05,20181006T182303_20181006T190346
2018-10-06 18:27:58,-4.5656643157912824e-05,20181006T182803_20181006T190856
2018-10-06 18:32:58,0.0001285959075865281,20181006T183303_20181006T203025
2018-10-07 18:07:57,-6.869235777767578e-05,20181007T180803_20181007T185213
2018-10-07 18:12:57,0.000107105519702483,20181007T181303_20181007T201023
2018-10-07 19:52:58,5.069953795132101e-06,20181007T195303_20181007T215142
2018-10-08 17:47:57,-5.3545809055110365e-05,20181008T174803_20181008T183222
2018-10-08 17:52:57,-1.6395521276273985e-05,20181008T175303_20181008T195130
2018-10-08 19:32:58,1.4774334055955935e-05,20181008T193303_20181008T213255
2018-10-09 17:27:58,-5.34965467216165e-05,20181009T172803_20181009T181331
2018-10-09 17:32:58,-1.5582142001720747e-05,20181009T173303_20181009T181607
2018-10-09 19:12:58,-1.505051101614438e-05,20181009T191303_20181009T211435
2018-10-10 17:07:58,-3.3747185016355915e-05,20181010T170803_20181010T175344
2018-10-10 17:12:58,-1.540612709412626e-05,20181010T171303_20181010T175532
2018-10-10 18:52:57,-1.5157924833716664e-05,20181010T185303_20181010T193330
2018-10-11 16:52:58,9.691828894130003e-05,20181011T165303_20181011T173713
2018-10-11 16:57:58,0.0005447005785818331,20181011T165803_20181011T185527
